order; fide_id; name; federation; gender; title; yob
1;2014360;Roland, Marcos Maldonado;BRA;M;;1950
2;2100010;Mecking, Henrique;BRA;M;GM;1952
3;2100029;Milos, Gilberto;BRA;M;GM;1963
4;2100037;Sunye Neto, Jaime;BRA;M;GM;1957
5;2100045;Lima, Darcy;BRA;M;GM;1962
6;2100053;Van Riemsdijk, Herman C.;BRA;M;IM;1948
7;2100061;Da Cunha, Marcos Paolozzi S.;BRA;M;IM;1960
8;2100070;Filguth, Rubens Alberto;BRA;M;IM;1956
9;2100088;Gouveia, Carlos Eduardo;BRA;M;;1950
10;2100096;Trois, Francisco R.T.;BRA;M;IM;1946
11;2100100;De Castro, Alexandre;BRA;M;;1957
12;2100118;Braga, Cicero Nogueira;BRA;M;IM;1958
13;2100126;Teixeira, Ricardo da Silva;BRA;M;FM;1957
14;2100134;Brito, Luismar;BRA;M;FM;1954
15;2100142;Cavalcanti, Francisco de Assis;BRA;M;FM;1962
16;2100150;Segal, Alexandru Sorin;BRA;M;IM;1947
17;2100169;Matsuura, Everaldo;BRA;M;GM;1970
18;2100177;Nobrega, Adaucto Wanderley;BRA;M;FM;1939
19;2100185;Rocha, Antonio;BRA;M;IM;1944
20;2100207;Limp, Eduardo Thelio;BRA;M;IM;1955
21;2100215;Trindade, Sandro Heleno;BRA;M;IM;1965
22;2100223;Correa, Aron Antunes;BRA;M;;1964
23;2100231;Dumont, Sadi Glasser;BRA;M;FM;1957
24;2100258;Loureiro, Luiz Vasconcellos;BRA;M;FM;1954
25;2100266;Resende, Antonio Carlos;BRA;M;IM;1959
26;2100274;Tsuboi, Edson Kenji;BRA;M;IM;1958
27;2100282;Asfora, Marco Antonio H.;BRA;M;FM;1947
28;2100290;Machado Jr, Hermes Amilcar;BRA;M;FM;1962
29;2100304;Man Yee, Chow;BRA;M;FM;1953
30;2100312;Souza, Ivan Boere;BRA;M;FM;1964
31;2100320;Ueti, Silvio Shigueo;BRA;M;;1967
32;2100339;Toth, Christian Endre;BRA;M;IM;1968
33;2100347;Araujo, Henrique Jose Morais de;BRA;M;;1970
34;2100355;Menna Barreto, Luiz Ney;BRA;M;FM;1961
35;2100363;Mascarenhas, Alberto Pinheiro;BRA;M;FM;1957
36;2100371;Miranda, Marcio Marcos do Carmo;BRA;M;FM;1942
37;2100380;Duarte, Fernando Pires;BRA;M;;0
38;2100398;Soares, Cesar;BRA;M;;1961
39;2100401;Borges, Wagner da Silva;BRA;M;CM;1957
40;2100410;Lucena, Lincoln;BRA;M;FM;1948
41;2100428;Pinto Paiva, Jose;BRA;M;;0
42;2100436;De Toledo, James Mann;BRA;M;IM;1960
43;2100444;De Souza, Mauro Guimaraes;BRA;M;IM;1968
44;2100452;Goncalves, Ruy Jose Furst;BRA;M;;1945
45;2100460;Dos Santos Junior, Haroldo Cunha;BRA;M;FM;1958
46;2100487;Van Riemsdijk, Dirk D.;BRA;M;;1941
47;2100495;Watanabe, Roberto Tadashi;BRA;M;IM;1972
48;2100509;Chemin, Vitorio;BRA;M;FM;1950
49;2100517;Toth, Peter;BRA;M;FM;1940
50;2100525;Matsuura, Horacio;BRA;M;;1964
51;2100533;Franco Filho, Antonio de Padua;BRA;M;;1954
52;2100541;Carvalho, Herbert Abreu;BRA;M;;1954
53;2100550;Lorets, Fabiano Da Silva;BRA;M;;1991
54;2100568;Horta, Cesar A. Parreiras;BRA;M;;1942
55;2100584;Chaves, Jaime Augusto;BRA;M;;1956
56;2100592;Farias, Sergio A. B. Lopes de;BRA;M;;1935
57;2100606;Oliveira, Paulo Sergio de Castro;BRA;M;;1950
58;2100622;Chaves, Joara;BRA;F;WIM;1962
59;2100630;De Oliveira, Maria Cristina B.;BRA;F;WIM;1957
60;2100649;Moyses, Ivone;BRA;F;;1945
61;2100657;Simonsen, Iluska;BRA;F;;0
62;2100681;Ribeiro, Regina;BRA;F;WIM;1961
63;2100703;Pereira, Silvio Cunha;BRA;M;FM;1957
64;2100711;Valentim, Flavio Oliveira;BRA;M;;1990
65;2100720;Dantas, Bianor da Silva;BRA;M;;1963
66;2100738;Rocha, Wellington Carlos;BRA;M;IM;1972
67;2100746;Nogueira, Francisco de Melo;BRA;M;;1961
68;2100754;Santos, Renato Andrade;BRA;M;FM;1966
69;2100762;Vargas, Roberto Carlos Melgarejo;BRA;M;;1967
70;2100789;Vescovi, Giovanni;BRA;M;GM;1978
71;2100797;Madeira, Wagner Martins;BRA;M;FM;1958
72;2100800;Alves, Norberto Suzigan Fonseca;BRA;M;;1993
73;2100819;Martinez, Carlos Alejandro;BRA;M;IM;1955
74;2100827;Awoki, Daniel Teidi;BRA;M;;1996
75;2100835;Bruce, Shannon Hill;BRA;M;;1985
76;2100843;Egoroff, Jomar;BRA;M;FM;1964
77;2100851;Valle, Adriano;BRA;M;FM;1964
78;2100860;Pelikian, Jefferson;BRA;M;IM;1965
79;2100878;Chagas, Humberto Luiz Cunha;BRA;M;;1982
80;2100886;Gonzalez, Bolivar Ribeiro;BRA;M;FM;1965
81;2100894;Andrade, Waldemiro Soares de;BRA;M;FM;1957
82;2100908;Rodrigues, Adriano;BRA;M;FM;1971
83;2100916;Cunha, Eduardo Arruda da Gama A;BRA;M;IM;1962
84;2100932;Silveira, Flavio Marques da;BRA;M;;1970
85;2100940;Guimaraes, Wagner Peixoto;BRA;M;FM;1971
86;2100967;Catropa, Djalma Marcondes;BRA;M;;1969
87;2100975;Gentil Junior, Luiz;BRA;M;;1951
88;2100983;Da Silva, Jose Gomes;BRA;M;;1945
89;2100991;Disconzi da Silva, Rodrigo;BRA;M;IM;1970
90;2101009;De Sousa, Fabiana;BRA;F;;1977
91;2101017;Dos Reis, Leandro Aparecido C;BRA;M;;1987
92;2101033;Machado, Luiz Eduardo Wexell;BRA;M;;1964
93;2101041;Martins, Jose Felix Perez;BRA;M;;1968
94;2101050;Vieira, Icaro Antonio Gerald;BRA;M;;1969
95;2101068;Elci, Pereira Diniz;BRA;M;FM;1959
96;2101076;Maia, Jose Eduardo Bastos O.;BRA;M;FM;1965
97;2101084;Rosa, Carlos Roberto de Jesus;BRA;M;;1965
98;2101092;Souza, Marco Andre;BRA;M;;1972
99;2101106;Garcia, Manuel Valentim;BRA;M;;1957
100;2101114;Lee, Orlando;BRA;M;;1969
101;2101122;Francelli, Derli;BRA;F;;1966
102;2101130;Name, Gabriel Ricardo Salim;BRA;M;;1950
103;2101149;Goes, Daniel de Cerqueira;BRA;M;FM;1961
104;2101157;Jonas, Joao Gabriel Da Silva;BRA;M;;1992
105;2101165;Maciel Jr, Wilson;BRA;M;;1961
106;2101173;Calcado, Acyr Rogerio;BRA;M;;1971
107;2101181;Pascheto, Ademir Heleno;BRA;M;;1954
108;2101190;Riboldi, Mario Garcia;BRA;M;;1966
109;2101203;Rodrigues, Tiago Pereira;BRA;M;;1988
110;2101211;Silva, Igor Dos Santos;BRA;M;;1993
111;2101220;Hiderick, Paulo Neek;BRA;M;;1964
112;2101238;Lucena, Jose Silvio Bezerra de;BRA;M;;1958
113;2101246;Leitao, Rafael;BRA;M;GM;1979
114;2101289;Da Costa, Renan Levy;BRA;M;FM;1967
115;2101297;Nogueira, Ivan Kuhlmann;BRA;M;FM;1963
116;2101300;Silva, Claudio Ferreira Da;BRA;M;;1969
117;2101319;Suzuki, Hideo;BRA;M;;1935
118;2101327;Steinhoff, Igor Muramatsu;BRA;M;;1976
119;2101335;Gauche, Charles;BRA;M;FM;1971
120;2101343;Fernandez, Rodrigo Amaral;BRA;M;;1977
121;2101351;Russo, Guilherme Matheus;BRA;M;;1977
122;2101360;Viana, Dirceu;BRA;M;FM;1966
123;2101378;Pinto, Carlos Henrique Lopes;BRA;M;FM;1962
124;2101386;De Oliveira, Roberto Manoel;BRA;M;;1954
125;2101394;Gomes, Musis Ferreira dos Santos;BRA;M;;1970
126;2101408;Barbosa, Augusto Thebaldi;BRA;M;;1991
127;2101416;Bini, Tiago;BRA;M;;1982
128;2101424;Bonifacio, Pedro Lucio;BRA;M;;1985
129;2101432;Castro, Daniel De Freitas;BRA;M;;1984
130;2101440;De Oliveira, Valter Bento;BRA;M;;1956
131;2101467;Gimenez, Jayme Augusto;BRA;M;;1962
132;2101475;Costa, Flavio Luis Cesar;BRA;M;;1974
133;2101491;Cruz, Renan Antonio Yamauti;BRA;M;;1994
134;2101505;Da Cunha, Gastao;BRA;M;;1971
135;2101513;Da Silva Fo, Paulo Calixto;BRA;M;;1993
136;2101521;Andrade, Roberto Luiz Costa;BRA;M;FM;1959
137;2101530;Santos Neto, Francisco Jose dos;BRA;M;CM;1963
138;2101548;Da Silva, Hermes Ludovino;BRA;M;;1943
139;2101556;Da Silva, Josimar Ribeiro;BRA;M;;1987
140;2101564;Da Silva, Lucas Ulisses T.;BRA;M;;1994
141;2101572;Schutt, Ricardo de Amorim;BRA;M;;1959
142;2101580;Chemin, Justo Reinaldo;BRA;M;FM;1946
143;2101599;Fernandes, Rogerio Paulo Muller;BRA;M;;1964
