order;fide_id;name;federation;gender;title;yob
1;100536;Amura, Claudia;ARG;F;WGM;1970
2;300683;Richtrova, Eliska;CZE;F;WGM;1959
3;302538;Eretova, Kveta;CZE;F;WGM;1926
4;304050;Krupkova, Petra;CZE;F;WGM;1976
5;305650;Ptacnikova, Lenka;ISL;F;WGM;1976
6;307033;Sikorova, Olga;CZE;F;WGM;1975
7;309672;Petrova, Kristyna;CZE;F;WGM;1992
8;318779;Kulovana, Eva;CZE;F;WGM;1987
9;320242;Olsarova, Karolina;CZE;F;WGM;1993
10;322750;Nemcova, Katerina;USA;F;WGM;1990
11;325449;Rodshtein, Tereza;CZE;F;WGM;1991
12;402168;Bellin, Jana M;ENG;F;WGM;1947
13;402508;Jackson, Sheila;ENG;F;WGM;1957
14;500755;Koskela, Niina;NOR;F;WGM;1971
15;618446;Leconte, Maria;FRA;F;WGM;1970
16;700576;Csonkics, Tunde;HUN;F;WGM;1958
17;701068;Veroci, Zsuzsa;HUN;F;WGM;1949
18;702358;Ivanka, Maria;HUN;F;WGM;1950
19;704458;Grabics, Monika;HUN;F;WGM;1976
20;705128;Lakos, Nikoletta;HUN;F;WGM;1978
21;717444;Gara, Ticia;HUN;F;WGM;1984
22;721530;Schneider, Veronika;HUN;F;WGM;1987
23;739049;Papp, Petra;HUN;F;WGM;1993
24;750930;Marjanovic, Annamaria;HUN;F;WGM;2001
25;904562;Maksimovic, Suzana;SRB;F;WGM;1962
26;908029;Maric, Mirjana;SRB;F;WGM;1970
27;909807;Nedeljkovic, Verica;SRB;F;WGM;1929
28;910589;Vuksanovic, Sanja;SRB;F;WGM;1967
29;910805;Konarkowska-Sokolov, Henrijeta;SRB;F;WGM;1938
30;913464;Benderac, Ana;SRB;F;WGM;1977
31;927007;Manakova, Maria;SRB;F;WGM;1974
32;928615;Chelushkina, Irina;SRB;F;WGM;1961
33;928682;Stojanovic, Andjelija;SRB;F;WGM;1987
34;929239;Dimitrijevic, Aleksandra;SRB;F;WGM;1986
35;929700;Prudnikova, Svetlana;SRB;F;WGM;1967
36;937266;Rapport, Jovana;SRB;F;WGM;1992
37;938238;Eric, Jovana;SRB;F;WGM;1992
38;1002457;Sziva, Erika;NED;F;WGM;1967
39;1008498;De Jong-Muhren, Bianca;NED;F;WGM;1986
40;1017292;Haast, Anne;NED;F;WGM;1993
41;1101315;Brustman, Agnieszka;POL;F;WGM;1962
42;1102575;Erenska-Barlo, Hanna;POL;F;WGM;1946
43;1104454;Dabrowska, Krystyna;POL;F;WGM;1973
